Start:BMA250 3-axis Accelerometer Type:accelerometer Delay:0
Unixtime (in nanosecond), Second, values[]
1400257652729000000,0.0,-3.255263,6.742072,3.9362805,
1400257652929013000,0.200013,-1.56634,5.09401,8.308413,
1400257652939267000,0.210267,-1.607201,5.1621118,8.185829,
1400257652958981000,0.229981,-2.1792557,4.930566,8.267551,
1400257652968991000,0.239991,-1.9477097,5.434519,7.9679036,
1400257652989041000,0.260041,-1.8387469,5.012288,7.572913,
1400257652999478000,0.270478,-1.4437568,4.3176503,7.9270425,
1400257653018978000,0.289978,-1.253072,4.8216033,8.349273,
1400257653029019000,0.300019,-2.0975335,5.243834,8.185829,
1400257653049130000,0.32013,-2.4516625,5.7341666,7.763598,
1400257653059079000,0.330079,-2.4108016,5.5843425,7.572913,
1400257653079068000,0.350068,-1.8387469,4.903325,7.9270425,
1400257653089138000,0.360138,-1.293933,4.5900574,8.117727,
1400257653108975000,0.379975,-1.3756552,4.508335,7.7363577,
1400257653128994000,0.399994,-0.8036005,4.0861044,8.22669,
1400257653139004000,0.410004,-1.1032481,4.4810944,8.499097,
1400257653158993000,0.429993,-1.7161638,5.053149,7.6546354,
1400257653169094000,0.440094,-0.95342433,4.4810944,6.537767,
1400257653189022000,0.460022,-0.61291564,3.7864566,5.6660647,
1400257653199063000,0.470063,-1.0623871,3.8273177,4.8216033,
1400257653222561000,0.493561,-1.8387469,3.6774938,6.197258,
1400257653229000000,0.5,-2.5197644,4.167826,7.1234417,
1400257653249142000,0.520142,-4.2904096,5.012288,5.7341666,
1400257653258969000,0.529969,-5.6660647,6.428804,3.636633,
1400257653278988000,0.549988,-6.9599977,7.000859,3.8273177,
1400257653299099000,0.570099,-8.458236,7.6137743,7.000859,
1400257653308987000,0.579987,-8.798744,8.648921,4.399372,
1400257653328976000,0.599976,-9.030291,8.539958,0.7218784,
1400257653339016000,0.610016,-8.185829,7.6954966,1.9477097,
1400257653358975000,0.629975,-8.267551,7.6954966,0.6401563,
1400257653369015000,0.640015,-8.648921,8.158588,1.1441092,
1400257653389004000,0.660004,-8.308413,6.9599977,2.4108016,
1400257653399044000,0.670044,-6.9599977,5.7750273,0.40861043,
1400257653419369000,0.690369,-8.308413,6.891896,0.4903325,
1400257653428982000,0.699982,-7.082581,4.167826,1.3756552,
1400257653449032000,0.720032,-8.076866,5.6660647,0.6810174,
1400257653469021000,0.740021,-8.880466,7.1915436,0.61291564,
1400257653479458000,0.750458,-8.076866,5.8567495,1.484618,
1400257653499874000,0.770874,-9.112013,6.537767,1.4165162,
1400257653508969000,0.779969,-9.915613,8.730643,-0.027240695,
1400257653529599000,0.800599,-7.9270425,7.4230895,-0.44947147,
1400257653539303000,0.810303,-6.347082,5.5843425,-0.4903325,
1400257653559018000,0.830018,-7.273266,8.458236,0.40861043,
1400257653568966000,0.839966,-8.036005,9.071152,-0.7627395,
1400257653589016000,0.860016,-8.349273,8.921328,-1.1441092,
1400257653599118000,0.870118,-6.701211,6.66035,1.1441092,
1400257653628384000,0.899384,-6.0474343,4.671779,1.253072,
1400257653629422000,0.900422,-6.469665,4.971427,-0.14982383,
1400257653648983000,0.919983,-6.810174,6.197258,-1.6753027,
1400257653668911000,0.939911,-7.000859,6.0474343,-1.56634,
1400257653678982000,0.949982,-7.04172,5.053149,-0.9125633,
1400257653698941000,0.969941,-7.3822284,3.636633,-0.8308412,
1400257653708981000,0.979981,-8.267551,2.7513103,-0.9125633,
1400257653728939000,0.999939,-9.343558,2.1383946,-1.56634,
1400257653738980000,1.00998,-10.296983,1.9477097,-2.2201166,
1400257653758969000,1.029969,-11.3321295,2.3699405,-2.5606253,
1400257653769131000,1.040131,-11.75436,1.2258313,-2.7921712,
1400257653788967000,1.059967,-12.707785,1.1441092,-2.4108016,
1400257653809018000,1.080018,-14.165162,0.61291564,-3.214402,
1400257653819729000,1.090729,-15.159447,-1.253072,-3.173541,
1400257653839138000,1.110138,-15.350132,-2.8602731,-2.982856,
1400257653849026000,1.120026,-15.009624,-2.5197644,-2.7921712,
1400257653869076000,1.140076,-14.056199,-1.1849703,-3.3233647,
1400257653879147000,1.150147,-13.279839,0.6401563,-4.3585114,
1400257653899014000,1.170014,-12.285554,1.56634,-4.167826,
1400257653909024000,1.180024,-10.7192135,2.8330324,-4.440233,
1400257653929470000,1.20047,-9.602345,3.3642259,-4.69902,
1400257653939022000,1.210022,-8.880466,3.173541,-4.2086873,
1400257653959011000,1.230011,-8.771504,3.0237172,-4.399372,
1400257653969052000,1.240052,-8.539958,2.8602731,-3.9771416,
1400257653989224000,1.260224,-7.804459,3.6774938,-3.6774938,
1400257654009030000,1.28003,-6.891896,4.440233,-4.2904096,
1400257654023312000,1.294312,-6.1563973,3.445948,-4.0180025,
1400257654039059000,1.310059,-5.284695,2.0566726,-3.255263,
1400257654048977000,1.319977,-4.0180025,1.0215261,-2.4108016,
1400257654068997000,1.339997,-3.0645783,0.8036005,-1.1441092,
1400257654079007000,1.350007,-3.5549107,2.8602731,-1.293933,
1400257654099087000,1.370087,-6.0882955,5.5162406,-3.13268,
1400257654109005000,1.380005,-7.8861814,6.9599977,-2.669588,
1400257654124417000,1.395417,-7.8861814,8.308413,-3.8954194,
1400257654139737000,1.410737,-8.22669,7.000859,-2.9419951,
1400257654159024000,1.430024,-7.84532,5.965712,-2.0566726,
1400257654179440000,1.45044,-6.1563973,4.780742,-1.9885708,
1400257654189053000,1.460053,-6.66035,4.399372,-4.971427,
1400257654208981000,1.479981,-6.810174,4.3176503,-4.780742,
